technique_id,technique_name,data_component_id,data_component_name,requirement_rows,unique_log_source_requirements,has_explicit_event_id_requirement,exact_event_evidence,any_source_evidence,best_evidence_status,best_evidence_strength,evidence_sources
T1001,Data Obfuscation,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1005,Data from Local System,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1006,Direct Volume Access,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1006,Direct Volume Access,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1006,Direct Volume Access,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1007,System Service Discovery,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1007,System Service Discovery,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1008,Fallback Channels,DC0078,Network Traffic Flow,159,159,True,False,True,source_observed,2,BOTS | EVTX
T1008,Fallback Channels,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1010,Application Window Discovery,DC0021,OS API Execution,170,170,True,True,True,exact_event_observed,3,BOTS | EVTX
T1010,Application Window Discovery,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1010,Application Window Discovery,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1010,Application Window Discovery,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011,Exfiltration Over Other Network Medium,DC0018,Host Status,50,50,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011,Exfiltration Over Other Network Medium,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011,Exfiltration Over Other Network Medium,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011,Exfiltration Over Other Network Medium,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011,Exfiltration Over Other Network Medium,DC0078,Network Traffic Flow,159,159,True,False,True,source_observed,2,BOTS | EVTX
T1011,Exfiltration Over Other Network Medium,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011,Exfiltration Over Other Network Medium,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1011.001,Exfiltration Over Bluetooth,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011.001,Exfiltration Over Bluetooth,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011.001,Exfiltration Over Bluetooth,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011.001,Exfiltration Over Bluetooth,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1011.001,Exfiltration Over Bluetooth,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1012,Query Registry,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1012,Query Registry,DC0063,Windows Registry Key Modification,9,9,True,True,True,exact_event_observed,3,BOTS | EVTX
T1012,Query Registry,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1014,Rootkit,DC0016,Module Load,45,45,True,True,True,exact_event_observed,3,BOTS | EVTX
T1014,Rootkit,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1014,Rootkit,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1014,Rootkit,DC0060,Service Creation,15,15,True,True,True,exact_event_observed,3,BOTS | EVTX
T1014,Rootkit,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1014,Rootkit,DC0079,Driver Load,3,3,True,True,True,exact_event_observed,3,BOTS | EVTX
T1016,System Network Configuration Discovery,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1016,System Network Configuration Discovery,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1016.001,Internet Connection Discovery,DC0029,Script Execution,32,32,True,True,True,exact_event_observed,3,BOTS | EVTX
T1016.001,Internet Connection Discovery,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1016.001,Internet Connection Discovery,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1016.001,Internet Connection Discovery,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1016.002,Wi-Fi Discovery,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1016.002,Wi-Fi Discovery,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1016.002,Wi-Fi Discovery,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1018,Remote System Discovery,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1018,Remote System Discovery,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1018,Remote System Discovery,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1018,Remote System Discovery,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1020,Automated Exfiltration,DC0001,Scheduled Job Creation,17,17,True,True,True,exact_event_observed,3,BOTS | EVTX
T1020,Automated Exfiltration,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1020,Automated Exfiltration,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1020.001,Traffic Duplication,DC0078,Network Traffic Flow,159,159,True,False,True,source_observed,2,BOTS | EVTX
T1020.001,Traffic Duplication,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021,Remote Services,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021,Remote Services,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021,Remote Services,DC0067,Logon Session Creation,67,67,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021,Remote Services,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.001,Remote Desktop Protocol,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.001,Remote Desktop Protocol,DC0067,Logon Session Creation,67,67,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.001,Remote Desktop Protocol,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.001,Remote Desktop Protocol,DC0088,Logon Session Metadata,34,34,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.002,SMB/Windows Admin Shares,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.002,SMB/Windows Admin Shares,DC0067,Logon Session Creation,67,67,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.002,SMB/Windows Admin Shares,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.003,Distributed Component Object Model,DC0016,Module Load,45,45,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.003,Distributed Component Object Model,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.003,Distributed Component Object Model,DC0067,Logon Session Creation,67,67,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.003,Distributed Component Object Model,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.004,SSH,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.004,SSH,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.004,SSH,DC0067,Logon Session Creation,67,67,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.004,SSH,DC0078,Network Traffic Flow,159,159,True,False,True,source_observed,2,BOTS | EVTX
T1021.004,SSH,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1021.004,SSH,DC0088,Logon Session Metadata,34,34,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.005,VNC,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.005,VNC,DC0067,Logon Session Creation,67,67,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.005,VNC,DC0078,Network Traffic Flow,159,159,True,False,True,source_observed,2,BOTS | EVTX
T1021.005,VNC,DC0088,Logon Session Metadata,34,34,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.006,Windows Remote Management,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.006,Windows Remote Management,DC0041,Service Metadata,22,22,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.006,Windows Remote Management,DC0067,Logon Session Creation,67,67,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.006,Windows Remote Management,DC0078,Network Traffic Flow,159,159,True,False,True,source_observed,2,BOTS | EVTX
T1021.007,Cloud Services,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.007,Cloud Services,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.007,Cloud Services,DC0067,Logon Session Creation,67,67,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.008,Direct Cloud VM Connections,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1021.008,Direct Cloud VM Connections,DC0067,Logon Session Creation,67,67,True,True,True,exact_event_observed,3,BOTS | EVTX
T1025,Data from Removable Media,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1025,Data from Removable Media,DC0042,Drive Creation,22,22,True,False,True,source_observed,2,BOTS | EVTX
T1025,Data from Removable Media,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027,Obfuscated Files or Information,DC0021,OS API Execution,170,170,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027,Obfuscated Files or Information,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027,Obfuscated Files or Information,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027,Obfuscated Files or Information,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027,Obfuscated Files or Information,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027,Obfuscated Files or Information,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027,Obfuscated Files or Information,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1027.001,Binary Padding,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.001,Binary Padding,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.001,Binary Padding,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.002,Software Packing,DC0020,Process Modification,19,19,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.002,Software Packing,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.002,Software Packing,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.003,Steganography,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.003,Steganography,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.003,Steganography,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.004,Compile After Delivery,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.004,Compile After Delivery,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.004,Compile After Delivery,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.005,Indicator Removal from Tools,DC0020,Process Modification,19,19,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.005,Indicator Removal from Tools,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.005,Indicator Removal from Tools,DC0038,Application Log Content,229,229,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.005,Indicator Removal from Tools,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.005,Indicator Removal from Tools,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.006,HTML Smuggling,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.006,HTML Smuggling,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.006,HTML Smuggling,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.006,HTML Smuggling,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1027.007,Dynamic API Resolution,DC0016,Module Load,45,45,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.007,Dynamic API Resolution,DC0021,OS API Execution,170,170,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.007,Dynamic API Resolution,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.008,Stripped Payloads,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.008,Stripped Payloads,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.008,Stripped Payloads,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.008,Stripped Payloads,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.008,Stripped Payloads,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1027.009,Embedded Payloads,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.009,Embedded Payloads,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.009,Embedded Payloads,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.009,Embedded Payloads,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.009,Embedded Payloads,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.010,Command Obfuscation,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.010,Command Obfuscation,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.011,Fileless Storage,DC0008,WMI Creation,3,3,True,False,True,source_observed,2,BOTS | EVTX
T1027.011,Fileless Storage,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.011,Fileless Storage,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.011,Fileless Storage,DC0063,Windows Registry Key Modification,9,9,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.012,LNK Icon Smuggling,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.012,LNK Icon Smuggling,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.012,LNK Icon Smuggling,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.013,Encrypted/Encoded File,DC0016,Module Load,45,45,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.013,Encrypted/Encoded File,DC0020,Process Modification,19,19,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.013,Encrypted/Encoded File,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.013,Encrypted/Encoded File,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.013,Encrypted/Encoded File,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.013,Encrypted/Encoded File,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.014,Polymorphic Code,DC0016,Module Load,45,45,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.014,Polymorphic Code,DC0020,Process Modification,19,19,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.014,Polymorphic Code,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.014,Polymorphic Code,DC0034,Process Metadata,45,45,True,False,True,source_observed,2,BOTS | EVTX
T1027.014,Polymorphic Code,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.014,Polymorphic Code,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.014,Polymorphic Code,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.015,Compression,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.015,Compression,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.015,Compression,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.015,Compression,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.015,Compression,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.016,Junk Code Insertion,DC0020,Process Modification,19,19,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.016,Junk Code Insertion,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.016,Junk Code Insertion,DC0035,Process Access,35,35,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.016,Junk Code Insertion,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.017,SVG Smuggling,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.017,SVG Smuggling,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.017,SVG Smuggling,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.017,SVG Smuggling,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.017,SVG Smuggling,DC0085,Network Traffic Content,279,279,True,False,True,source_observed,2,BOTS | EVTX
T1027.018,Invisible Unicode,DC0016,Module Load,45,45,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.018,Invisible Unicode,DC0029,Script Execution,32,32,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.018,Invisible Unicode,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.018,Invisible Unicode,DC0039,File Creation,128,128,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.018,Invisible Unicode,DC0055,File Access,113,113,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.018,Invisible Unicode,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.018,Invisible Unicode,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1027.018,Invisible Unicode,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1029,Scheduled Transfer,DC0005,Scheduled Job Metadata,8,8,True,False,True,source_observed,2,BOTS | EVTX
T1029,Scheduled Transfer,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1029,Scheduled Transfer,DC0078,Network Traffic Flow,159,159,True,False,True,source_observed,2,BOTS | EVTX
T1029,Scheduled Transfer,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1030,Data Transfer Size Limits,DC0078,Network Traffic Flow,159,159,True,False,True,source_observed,2,BOTS | EVTX
T1030,Data Transfer Size Limits,DC0082,Network Connection Creation,98,98,True,True,True,exact_event_observed,3,BOTS | EVTX
T1033,System Owner/User Discovery,DC0021,OS API Execution,170,170,True,True,True,exact_event_observed,3,BOTS | EVTX
T1033,System Owner/User Discovery,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1033,System Owner/User Discovery,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1036,Masquerading,DC0028,Image Metadata,3,3,False,False,False,not_observed,0,
T1036,Masquerading,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1036,Masquerading,DC0034,Process Metadata,45,45,True,False,True,source_observed,2,BOTS | EVTX
T1036,Masquerading,DC0041,Service Metadata,22,22,True,True,True,exact_event_observed,3,BOTS | EVTX
T1036,Masquerading,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1036,Masquerading,DC0060,Service Creation,15,15,True,True,True,exact_event_observed,3,BOTS | EVTX
T1036,Masquerading,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
T1036,Masquerading,DC0064,Command Execution,291,291,True,True,True,exact_event_observed,3,BOTS | EVTX
T1036.001,Invalid Code Signature,DC0032,Process Creation,333,333,True,True,True,exact_event_observed,3,BOTS | EVTX
T1036.001,Invalid Code Signature,DC0059,File Metadata,91,91,True,True,True,exact_event_observed,3,BOTS | EVTX
T1036.001,Invalid Code Signature,DC0061,File Modification,150,150,True,True,True,exact_event_observed,3,BOTS | EVTX
