technique_id,technique_name,platforms,tactics,data_components_referenced,data_components_with_any_evidence,data_components_with_exact_event_evidence,data_components_source_only,component_evidence_coverage_pct,exact_event_component_coverage_pct,telemetry_evidence_status,evidence_sources
T1027.006,HTML Smuggling,Linux | Windows | macOS,stealth,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1027.007,Dynamic API Resolution,Windows,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.008,Stripped Payloads,Linux | Network Devices | Windows | macOS,stealth,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1027.009,Embedded Payloads,Linux | Windows | macOS,stealth,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.010,Command Obfuscation,Linux | Windows | macOS,stealth,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.011,Fileless Storage,Linux | Windows,stealth,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1027.012,LNK Icon Smuggling,Windows,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.013,Encrypted/Encoded File,Linux | Windows | macOS,stealth,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.014,Polymorphic Code,Linux | Windows | macOS,stealth,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1027.015,Compression,Linux | Windows | macOS,stealth,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.016,Junk Code Insertion,Linux | Windows | macOS,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1027.017,SVG Smuggling,Linux | Windows | macOS,stealth,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1027.018,Invisible Unicode,Linux | Windows | macOS,stealth,8,8,8,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1029,Scheduled Transfer,Linux | Windows | macOS,exfiltration,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1030,Data Transfer Size Limits,ESXi | Linux | Windows | macOS,exfiltration,2,2,1,1,100.0,50.0,full_component_evidence,BOTS | EVTX
T1033,System Owner/User Discovery,Linux | Network Devices | Windows | macOS,discovery,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1036,Masquerading,Containers | ESXi | Linux | Windows | macOS,stealth,8,7,6,1,87.5,75.0,partial_component_evidence,BOTS | EVTX
T1036.001,Invalid Code Signature,Windows | macOS,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1036.002,Right-to-Left Override,Linux | Windows | macOS,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1036.003,Rename Legitimate Utilities,Linux | Windows | macOS,stealth,6,6,5,1,100.0,83.333333,full_component_evidence,BOTS | EVTX
T1036.004,Masquerade Task or Service,Linux | Windows | macOS,stealth,6,6,5,1,100.0,83.333333,full_component_evidence,BOTS | EVTX
T1036.005,Match Legitimate Resource Name or Location,Containers | ESXi | Linux | Windows | macOS,stealth,10,9,8,1,90.0,80.0,partial_component_evidence,BOTS | EVTX
T1036.006,Space after Filename,Linux | macOS,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1036.007,Double File Extension,Windows,stealth,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1036.008,Masquerade File Type,Linux | Windows | macOS,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1036.009,Break Process Trees,Linux | macOS,stealth,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1036.010,Masquerade Account Name,Containers | IaaS | Identity Provider | Linux | Office Suite | SaaS | Windows | macOS,stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1036.011,Overwrite Process Arguments,Linux,stealth,2,2,1,1,100.0,50.0,full_component_evidence,BOTS | EVTX
T1036.012,Browser Fingerprint,Linux | Windows | macOS,stealth,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1037,Boot or Logon Initialization Scripts,ESXi | Linux | Network Devices | Windows | macOS,persistence | privilege-escalation,8,8,8,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1037.001,Logon Script (Windows),Windows,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1037.002,Login Hook,macOS,persistence | privilege-escalation,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1037.003,Network Logon Script,Windows,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1037.004,RC Scripts,ESXi | Linux | Network Devices | macOS,persistence | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1037.005,Startup Items,macOS,persistence | privilege-escalation,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1039,Data from Network Shared Drive,Linux | Windows | macOS,collection,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1040,Network Sniffing,IaaS | Linux | Network Devices | Windows | macOS,credential-access | discovery,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1041,Exfiltration Over C2 Channel,ESXi | Linux | Windows | macOS,exfiltration,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1046,Network Service Discovery,Containers | IaaS | Linux | Network Devices | Windows | macOS,discovery,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1047,Windows Management Instrumentation,Windows,execution,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1048,Exfiltration Over Alternative Protocol,ESXi | IaaS | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,exfiltration,9,9,6,3,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1048.001,Exfiltration Over Symmetric Encrypted Non-C2 Protocol,ESXi | Linux | Windows | macOS,exfiltration,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1048.002,Exfiltration Over Asymmetric Encrypted Non-C2 Protocol,ESXi | Linux | Windows | macOS,exfiltration,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1048.003,Exfiltration Over Unencrypted Non-C2 Protocol,ESXi | Linux | Network Devices | Windows | macOS,exfiltration,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1049,System Network Connections Discovery,ESXi | IaaS | Linux | Network Devices | Windows | macOS,discovery,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1052,Exfiltration Over Physical Medium,Linux | Windows | macOS,exfiltration,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1052.001,Exfiltration over USB,Linux | Windows | macOS,exfiltration,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1053,Scheduled Task/Job,Containers | ESXi | Linux | Network Devices | Windows | macOS,execution | persistence | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1053.002,At,Linux | Windows | macOS,execution | persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1053.003,Cron,ESXi | Linux | macOS,execution | persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1053.005,Scheduled Task,Windows,execution | persistence | privilege-escalation,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1053.006,Systemd Timers,Linux,execution | persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1053.007,Container Orchestration Job,Containers,execution | persistence | privilege-escalation,3,2,1,1,66.666667,33.333333,partial_component_evidence,BOTS | EVTX
T1055,Process Injection,Linux | Windows | macOS,privilege-escalation | stealth,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1055.001,Dynamic-link Library Injection,Windows,privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.002,Portable Executable Injection,Windows,privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.003,Thread Execution Hijacking,Windows,privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.004,Asynchronous Procedure Call,Windows,privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.005,Thread Local Storage,Windows,privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.008,Ptrace System Calls,Linux,privilege-escalation | stealth,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1055.009,Proc Memory,Linux,privilege-escalation | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.011,Extra Window Memory Injection,Windows,privilege-escalation | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.012,Process Hollowing,Windows,privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.013,Process Doppelgänging,Windows,privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.014,VDSO Hijacking,Linux,privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1055.015,ListPlanting,Windows,privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1056,Input Capture,Linux | Network Devices | Windows | macOS,collection | credential-access,8,8,6,2,100.0,75.0,full_component_evidence,BOTS | EVTX
T1056.001,Keylogging,Linux | Network Devices | Windows | macOS,collection | credential-access,9,9,6,3,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1056.002,GUI Input Capture,Linux | Windows | macOS,collection | credential-access,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1056.003,Web Portal Capture,Linux | Windows | macOS,collection | credential-access,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1056.004,Credential API Hooking,Linux | Windows | macOS,collection | credential-access,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1057,Process Discovery,ESXi | Linux | Network Devices | Windows | macOS,discovery,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1059,Command and Scripting Interpreter,Containers | ESXi | IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,execution,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1059.001,PowerShell,Windows,execution,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1059.002,AppleScript,macOS,execution,1,1,1,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1059.003,Windows Command Shell,Windows,execution,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1059.004,Unix Shell,ESXi | Linux | Network Devices | macOS,execution,6,6,5,1,100.0,83.333333,full_component_evidence,BOTS | EVTX
T1059.005,Visual Basic,Linux | Windows | macOS,execution,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1059.006,Python,ESXi | Linux | Windows | macOS,execution,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1059.007,JavaScript,Linux | Windows | macOS,execution,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1059.008,Network Device CLI,Network Devices,execution,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1059.009,Cloud API,IaaS | Identity Provider | Office Suite | SaaS,execution,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1059.010,AutoHotKey & AutoIT,Windows,execution,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1059.011,Lua,Linux | Network Devices | Windows | macOS,execution,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1059.012,Hypervisor CLI,ESXi,execution,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1059.013,Container CLI/API,Containers,execution,5,3,2,1,60.0,40.0,partial_component_evidence,BOTS | EVTX
T1068,Exploitation for Privilege Escalation,Containers | Linux | Windows | macOS,privilege-escalation,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1069,Permission Groups Discovery,Containers | IaaS | Identity Provider | Linux | Office Suite | SaaS | Windows | macOS,discovery,2,2,2,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1069.001,Local Groups,Linux | Windows | macOS,discovery,1,1,1,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1069.002,Domain Groups,Linux | Windows | macOS,discovery,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1069.003,Cloud Groups,IaaS | Identity Provider | Office Suite | SaaS,discovery,3,2,2,0,66.666667,66.666667,partial_component_evidence,BOTS | EVTX
T1070,Indicator Removal,Containers | ESXi | Linux | Network Devices | Office Suite | Windows | macOS,stealth,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1070.003,Clear Command History,ESXi | Linux | Network Devices | Windows | macOS,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1070.004,File Deletion,ESXi | Linux | Windows | macOS,stealth,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1070.005,Network Share Connection Removal,Windows,stealth,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1070.006,Timestomp,ESXi | Linux | Windows | macOS,stealth,6,6,6,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1070.007,Clear Network Connection History and Configurations,Linux | Network Devices | Windows | macOS,stealth,6,6,4,2,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1070.008,Clear Mailbox Data,Linux | Office Suite | Windows | macOS,stealth,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1070.009,Clear Persistence,ESXi | Linux | Windows | macOS,stealth,6,6,5,1,100.0,83.333333,full_component_evidence,BOTS | EVTX
T1070.010,Relocate Malware,Linux | Network Devices | Windows | macOS,stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1071,Application Layer Protocol,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1071.001,Web Protocols,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1071.002,File Transfer Protocols,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1071.003,Mail Protocols,Linux | Network Devices | Windows | macOS,command-and-control,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1071.004,DNS,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1071.005,Publish/Subscribe Protocols,Linux | Network Devices | Windows | macOS,command-and-control,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1072,Software Deployment Tools,Linux | Network Devices | SaaS | Windows | macOS,execution | lateral-movement,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1074,Data Staged,ESXi | IaaS | Linux | Windows | macOS,collection,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1074.001,Local Data Staging,ESXi | Linux | Windows | macOS,collection,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1074.002,Remote Data Staging,ESXi | IaaS | Linux | Windows | macOS,collection,7,7,5,2,100.0,71.428571,full_component_evidence,BOTS | EVTX
T1078,Valid Accounts,Containers | ESXi | IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,initial-access | persistence | privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1078.001,Default Accounts,Containers | ESXi | IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,initial-access | persistence | privilege-escalation | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1078.002,Domain Accounts,ESXi | Linux | Windows | macOS,initial-access | persistence | privilege-escalation | stealth,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1078.003,Local Accounts,Containers | ESXi | Linux | Network Devices | Windows | macOS,initial-access | persistence | privilege-escalation | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1078.004,Cloud Accounts,IaaS | Identity Provider | Office Suite | SaaS,initial-access | persistence | privilege-escalation | stealth,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1080,Taint Shared Content,Linux | Office Suite | SaaS | Windows | macOS,lateral-movement,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1082,System Information Discovery,ESXi | IaaS | Linux | Network Devices | Windows | macOS,discovery,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1083,File and Directory Discovery,ESXi | Linux | Network Devices | Windows | macOS,discovery,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1087,Account Discovery,ESXi | IaaS | Identity Provider | Linux | Office Suite | SaaS | Windows | macOS,discovery,7,7,6,1,100.0,85.714286,full_component_evidence,BOTS | EVTX
T1087.001,Local Account,ESXi | Linux | Windows | macOS,discovery,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1087.002,Domain Account,Linux | Windows | macOS,discovery,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1087.003,Email Account,Office Suite | Windows,discovery,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1087.004,Cloud Account,IaaS | Identity Provider | Office Suite | SaaS,discovery,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1090,Proxy,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,5,5,3,2,100.0,60.0,full_component_evidence,BOTS | EVTX
T1090.001,Internal Proxy,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,7,7,4,3,100.0,57.142857,full_component_evidence,BOTS | EVTX
T1090.002,External Proxy,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,5,5,2,3,100.0,40.0,full_component_evidence,BOTS | EVTX
T1090.003,Multi-hop Proxy,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,5,5,2,3,100.0,40.0,full_component_evidence,BOTS | EVTX
T1090.004,Domain Fronting,ESXi | Linux | Windows | macOS,command-and-control,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1091,Replication Through Removable Media,Windows,initial-access | lateral-movement,4,4,3,1,100.0,75.0,full_component_evidence,BOTS | EVTX
T1092,Communication Through Removable Media,Linux | Windows | macOS,command-and-control,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1095,Non-Application Layer Protocol,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,3,3,1,2,100.0,33.333333,full_component_evidence,BOTS | EVTX
T1098,Account Manipulation,Containers | ESXi | IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,persistence | privilege-escalation,4,4,4,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1098.001,Additional Cloud Credentials,IaaS | Identity Provider | SaaS,persistence | privilege-escalation,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1098.002,Additional Email Delegate Permissions,Office Suite | Windows,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1098.003,Additional Cloud Roles,IaaS | Identity Provider | Office Suite | SaaS,persistence | privilege-escalation,1,1,1,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1098.004,SSH Authorized Keys,ESXi | IaaS | Linux | Network Devices | macOS,persistence | privilege-escalation,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1098.005,Device Registration,Identity Provider | Windows,persistence | privilege-escalation,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1098.006,Additional Container Cluster Roles,Containers,persistence | privilege-escalation,1,1,1,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1098.007,Additional Local or Domain Groups,Linux | Windows | macOS,persistence | privilege-escalation,1,1,1,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1102,Web Service,ESXi | Linux | Windows | macOS,command-and-control,3,3,1,2,100.0,33.333333,full_component_evidence,BOTS | EVTX
T1102.001,Dead Drop Resolver,ESXi | Linux | Windows | macOS,command-and-control,3,3,1,2,100.0,33.333333,full_component_evidence,BOTS | EVTX
T1102.002,Bidirectional Communication,ESXi | Linux | Windows | macOS,command-and-control,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1102.003,One-Way Communication,ESXi | Linux | Windows | macOS,command-and-control,4,4,2,2,100.0,50.0,full_component_evidence,BOTS | EVTX
T1104,Multi-Stage Channels,ESXi | Linux | Windows | macOS,command-and-control,3,3,2,1,100.0,66.666667,full_component_evidence,BOTS | EVTX
T1105,Ingress Tool Transfer,ESXi | Linux | Network Devices | Windows | macOS,command-and-control,5,5,4,1,100.0,80.0,full_component_evidence,BOTS | EVTX
T1106,Native API,Linux | Windows | macOS,execution,3,3,3,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1110,Brute Force,Containers | ESXi | IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,credential-access,1,1,1,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1110.001,Password Guessing,Containers | ESXi | IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,credential-access,1,1,1,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1110.002,Password Cracking,Identity Provider | Linux | Network Devices | Office Suite | Windows | macOS,credential-access,5,5,5,0,100.0,100.0,full_component_evidence,BOTS | EVTX
T1110.003,Password Spraying,Containers | ESXi | IaaS | Identity Provider | Linux | Network Devices | Office Suite | SaaS | Windows | macOS,credential-access,1,1,1,0,100.0,100.0,full_component_evidence,BOTS | EVTX
